allPolyXTranslation = 0
allPolyYTranslation = -60


x1 = 40, 2, 3, -35, 21, 77, 40, 40
y1 = 230, 230, 103, 103, 48, 103, 103, 230

x2 = -134, -161, -71, -98, -19, -18, -45, -134
y2 = 191, 164, 75, 48, 49, 127, 101, 191

x3 = -230, -230, -103, -103, -48, -103, -103, -230
y3 = 40, 2, 3, -35, 21, 77, 40, 40

x4 = -191, -164, -75, -48, -49, -127, -101, -191
y4 = -134, -161, -71, -98, -19, -18, -45, -134

x5 = -40, -2, -3, 35, -21, -77, -40, -40
y5 = -230, -230, -103, -103, -48, -103, -103, -230

x6 = 134, 161, 71, 98, 19, 18, 45, 134
y6 = -191, -164, -75, -48, -49, -127, -101, -191

x7 = 230, 230, 103, 103, 48, 103, 103, 230
y7 = -40, -2, -3, 35, -21, -77, -40, -40

x8 = 191, 164, 75, 48, 49, 127, 101, 191
y8 = 134, 161, 71, 98, 19, 18, 45, 134
